,URL,Name,Exists,Main Genre,Second Genre,url,filename,points,Abstraction,Parallelism,Logic,Synchronization,Flow control,User interactivity,Data representation,Math operators,Motion operators,DuplicateScripts,DeadCode,SpriteNaming,BackdropNaming,Error,dashboard_mode,Van points,Van Abstraction,Van Parallelism,Van Logic,Van Synchronization,Van Flow control,Van User interactivity,Van Data representation,tot_blocks
39,https:/scratch.mit.edu/projects/184012808/editor/,Brick Breaker remix.sb3,False,Action,Pong,,Brick Breaker remix.sb3,22,1,1,1,3,4,2,4,2,4,0,0,0,0,,Default,14,1,1,1,3,3,2,3,97
40,https:/scratch.mit.edu/projects/215168918/editor/,Bronson and Jacek Scratch Project.sb3,False,Adventure,,,Bronson and Jacek Scratch Project.sb3,26,1,4,4,3,2,2,4,2,4,6,3,34,3,,Default,17,1,3,3,3,2,2,3,1450
41,https:/scratch.mit.edu/projects/213254704/editor/,Brooke_Miranda.sb3,False,Storytelling,Decision Making,,Brooke_Miranda.sb3,26,4,4,1,3,2,2,4,2,4,0,0,0,1,,Default,17,3,3,1,3,2,2,3,250
42,https:/scratch.mit.edu/projects/213217064/editor/,Bryan and Mark's Game Project.sb3,False,Action,Pong,,Bryan and Mark's Game Project.sb3,25,4,4,1,3,4,2,4,2,1,2,0,0,4,,Default,18,3,3,1,3,3,2,3,200
43,https:/scratch.mit.edu/projects/182647869/editor/,Building A House.sb3,False,,,,Building A House.sb3,21,1,4,0,3,1,2,4,3,3,5,0,1,1,,Default,13,1,3,0,3,1,2,3,422
44,https:/scratch.mit.edu/projects/210272031/editor/,Building wackamole in the city of Hainsboro.sb3,False,Action,Clicker,,Building wackamole in the city of Hainsboro.sb3,18,1,4,1,2,2,2,4,2,0,0,0,0,1,,Default,14,1,3,1,2,2,2,3,170
45,https:/scratch.mit.edu/projects/144080429/editor/,CARBON CLICKING (Arjun the other one was screwed up so I made a new one).sb3,False,Action,Clicker,,CARBON CLICKING (Arjun the other one was screwed up so I made a new one).sb3,27,4,3,1,3,4,2,4,2,4,0,1,3,3,,Default,18,3,3,1,3,3,2,3,152
46,https:/scratch.mit.edu/projects/216044242/editor/,CARbon Killer.sb3,False,Action,Clicker,,CARbon Killer.sb3,23,1,3,1,3,4,2,4,2,3,0,3,1,3,,Default,16,1,3,1,3,3,2,3,201
47,https:/scratch.mit.edu/projects/215465200/editor/,CAUSATION EVASION.sb3,False,Action,Pong,,CAUSATION EVASION.sb3,20,1,1,2,1,3,2,4,2,4,34,2,0,1,,Default,13,1,1,2,1,3,2,3,486
48,https:/scratch.mit.edu/projects/215880282/editor/,CCTD - (Climate Change Tower Defense).sb3,False,Simulation,Strategy,,CCTD - (Climate Change Tower Defense).sb3,28,4,4,4,2,2,2,4,2,4,2,22,0,4,,Default,18,3,3,3,2,2,2,3,1424
49,https:/scratch.mit.edu/projects/210947890/editor/,CL LL climate change game.sb3,False,Quiz,nan,,CL LL climate change game.sb3,17,1,2,1,0,2,2,4,2,3,2,0,3,0,,Default,11,1,2,1,0,2,2,3,35
50,https:/scratch.mit.edu/projects/165053093/editor/,CO2 Crusher.sb3,False,Action,Clicker,,CO2 Crusher.sb3,24,4,4,1,3,3,2,4,2,1,0,1,1,1,,Default,18,3,3,1,3,3,2,3,80
51,https:/scratch.mit.edu/projects/215908750/editor/,CO2 Drop.sb3,False,Action,Pong,,CO2 Drop.sb3,25,1,4,4,3,4,2,4,2,1,9,28,17,7,,Default,18,1,3,3,3,3,2,3,702
52,https:/scratch.mit.edu/projects/215166252/editor/,CO2 Footprints.sb3,False,Action,Platform,,CO2 Footprints.sb3,28,2,4,4,3,3,2,4,2,4,18,1,22,0,,Default,19,2,3,3,3,3,2,3,978
53,https:/scratch.mit.edu/projects/212581136/editor/,CO2 Game.sb3,False,Simulation,,,CO2 Game.sb3,19,1,1,1,2,2,2,4,2,4,4,5,4,0,,Default,12,1,1,1,2,2,2,3,108
54,https:/scratch.mit.edu/projects/129915141/editor/,CO2 Killer.sb3,False,Action,Clicker,,CO2 Killer.sb3,21,3,3,1,1,2,2,4,2,3,0,8,0,2,,Default,15,3,3,1,1,2,2,3,207
55,https:/scratch.mit.edu/projects/218171483/editor/,CO2 Run.sb3,False,,,,CO2 Run.sb3,20,1,4,1,3,2,2,4,2,1,0,0,0,0,,Default,15,1,3,1,3,2,2,3,448
56,https:/scratch.mit.edu/projects/129969202/editor/,CO2 Stopper Copter.sb3,False,Action,Pong,,CO2 Stopper Copter.sb3,27,1,3,2,3,4,4,4,2,4,0,7,4,1,,Default,18,1,3,2,3,3,3,3,340
